IDSORT	FamilyID	Female	Male	cloneid	Rep	IncBlock	Tree	VOL
257	13	Par901	Par916	174	1	30	2	684.5983
258	26	Par922	Par921	373	1	30	3	735.2897
259	53	Par924	Par907	770	1	30	4	515.4821
261	46	Par927	Par931	676	1	31	1	627.7423
262	24	Par915	Par904	341	1	31	2	476.5922
263	53	Par924	Par907	774	1	31	3	433.2967
264	26	Par922	Par921	377	1	31	4	908.9029
265	40	Par922	Par917	591	1	31	5	563.4031
267	15	Par909	Par914	208	1	32	2	549.9601
268	11	Par929	Par920	155	1	32	3	NA
269	59	Par914	Par926	831	1	32	4	425.1746
270	31	Par908	Par927	444	1	32	5	NA
272	26	Par922	Par921	363	1	33	2	307.4795
273	60	Par929	Par904	851	1	33	3	597.8372
274	24	Par915	Par904	327	1	33	4	672.5673
275	40	Par922	Par917	590	1	33	5	445.3584
277	2	Par910	Par908	26	1	33	7	NA
278	53	Par924	Par907	773	1	33	8	699.4483
279	13	Par901	Par916	171	1	33	9	340.8241
280	12	Par917	Par921	159	1	33	10	661.195
281	39	Par912	Par923	561	1	32	6	NA
282	52	Par911	Par905	750	1	32	7	NA
283	25	Par905	Par927	362	1	32	8	675.9392
285	47	Par928	Par904	682	1	32	10	585.9211
286	13	Par901	Par916	177	1	31	6	369.073
287	33	Par908	Par914	474	1	31	7	564.4213
288	10	Par905	Par930	123	1	31	8	529.3223
289	2	Par910	Par908	22	1	31	9	952.92
290	61	Par912	Par904	854	1	31	10	NA
291	40	Par922	Par917	583	1	30	6	636.1055
292	24	Par915	Par904	329	1	30	7	NA
293	12	Par917	Par921	158	1	30	8	NA
297	39	Par912	Par923	576	1	29	7	NA
298	12	Par917	Par921	157	1	29	8	NA
299	32	Par928	Par930	471	1	29	9	529.4027
300	1	Par915	Par932	8	1	29	10	NA
301	46	Par927	Par931	669	1	28	6	NA
302	27	Par923	Par905	389	1	28	7	421.1168
304	41	Par913	Par917	600	1	28	9	322.6614
305	30	Par904	Par903	431	1	28	10	564.4213
306	3	Par903	Par927	28	1	27	6	875.7393
307	33	Par908	Par914	480	1	27	7	277.2548
308	13	Par901	Par916	178	1	27	8	470.0798
