INDIV	FEMALE	MALE
1421	FEM5	0
1422	FEM5	0
1423	C2	0
1424	C2	0
1425	C2	0
1426	C2	0
1427	C2	0
1428	C2	0
1429	FEM3	0
1430	FEM3	0
1431	FEM3	0
1432	FEM3	0
1433	FEM3	0
1434	FEM3	0
1435	FEM24	0
1436	FEM24	0
1437	FEM24	0
1438	FEM24	0
1439	FEM24	0
1440	FEM24	0
1441	C1	0
1442	C1	0
1443	C1	0
1444	C1	0
1445	C1	0
1446	C1	0
1447	FEM6	0
1448	FEM6	0
1449	FEM6	0
1450	FEM6	0
1451	FEM6	0
1452	FEM6	0
1453	FEM16	0
1454	FEM16	0
1455	FEM16	0
1456	FEM16	0
1457	FEM16	0
1458	FEM16	0
1459	FEM1	0
1460	FEM1	0
1461	FEM1	0
1462	FEM1	0
1463	FEM1	0
1464	FEM1	0
1465	FEM15	0
1466	FEM15	0
1467	FEM15	0
1468	FEM15	0
1469	FEM15	0
1470	FEM15	0
1471	C3	0
1472	C3	0
1473	C3	0
1474	C3	0
1475	C3	0
1476	C3	0
1477	FEM10	0
1478	FEM10	0
1479	FEM10	0
1480	FEM10	0
1481	FEM10	0
1482	FEM10	0
1483	FEM21	0
1484	FEM21	0
1485	FEM21	0
1486	FEM21	0
1487	FEM21	0
1488	FEM21	0
1489	FEM5	0
1490	FEM5	0
1491	FEM5	0
1492	FEM5	0
1493	FEM5	0
1494	FEM5	0
1495	FEM7	0
1496	FEM7	0
1497	FEM7	0
1498	FEM7	0
1499	FEM7	0
1500	FEM7	0
1501	C2	0
1502	C2	0
1503	C2	0
1504	C2	0
1505	C2	0
1506	C2	0
1507	FEM25	0
1508	FEM25	0
1509	FEM25	0
1510	FEM25	0
1511	FEM25	0
1512	FEM25	0
1513	FEM13	0
1514	FEM13	0
1515	FEM13	0
1516	FEM13	0
1517	FEM13	0
1518	FEM13	0
1519	FEM17	0
1520	FEM17	0
1521	FEM17	0
1522	FEM17	0
1523	FEM17	0
1524	FEM17	0
1525	FEM11	0
1526	FEM11	0
1527	FEM11	0
1528	FEM11	0
1529	FEM11	0
1530	FEM11	0
1531	FEM4	0
1532	FEM4	0
1533	FEM4	0
1534	FEM4	0
1535	FEM4	0
1536	FEM4	0
1537	FEM2	0
1538	FEM2	0
1539	FEM2	0
1540	FEM2	0
1541	FEM2	0
1542	FEM2	0
1543	FEM26	0
1544	FEM26	0
